,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
51,02074500,0.5067980096398201,-0.12474028702544196,0.80948414458837,0.19581745564937592,0.25963018520033,2.188047170639038,2.8695569894010147,0,0,53,0,96,70,-1.570740832522555,-1.7000663517443155
52,02092500,0.5009863980158678,-0.16048151446904105,0.8514565267730775,0.019688168540596962,0.1859392476867,3.9494465351104706,3.5857933569875535,0,0,1146,82,295,93,-4.049884878577137,-2.260773364412125
53,02118500,0.7904671387256563,-0.03852548863495706,1.0637090125992736,0.22558829188346863,0.20121152283520652,2.3784323215484586,2.9857157399039522,0,0,75,0,54,111,-1.797162775386643,-2.1221196971968515
54,02298608,0.7280819126743863,0.31337142117595107,0.6596371212253881,0.014364487491548061,0.044213084002883096,5.171971559524532,3.530208580672357,64,0,897,418,698,461,-4.420045717791398,-3.77252318460456
55,02469800,0.7668860168991419,0.0033056151049494055,0.8041651164768268,0.050709038972854614,0.2123914739869765,4.627199649810791,3.575932274178119,0,0,735,48,293,89,-3.665160302486494,-2.2033613106192202
56,04015330,0.6226071022202444,0.09818235800808173,0.6186559721444416,0.035043053328990936,0.1644223120860387,4.986287450790399,3.3396588172269848,79,0,520,0,554,210,-3.5159455419189163,-2.4638637556841276
57,04045500,0.7424025950602193,-0.1890502401695032,0.9087131517503947,0.26066136658191685,0.40578508457966805,3.2777061462402344,3.0141347055373235,0,0,0,0,49,5,-1.837381225014494,-1.397131678471965
58,04105700,-0.5493106092486861,-0.0477758407750671,1.9536435621031911,0.5101715326309204,0.3410405430751182,1.7734534740447998,2.333757533357606,0,0,0,0,0,9,-0.9915541202193229,-1.504186978636183
59,03049000,0.8017671459186401,0.002799429982171761,0.8157016717652912,0.06898044049739838,0.13117603506982453,4.381637716293327,3.8671539890016646,0,0,957,550,151,63,-3.6544568873918966,-2.9689333911232563
60,03049800,0.5753022925625557,-0.0542874230364081,0.6104253613392085,0.037605080753564835,0.10215169120660779,3.92400860786438,3.6739128330828175,1,0,875,715,272,86,-4.3152566021715,-3.302732145276173
61,03180500,0.7836270493026491,-0.01564384548324494,0.8540158853051494,0.06963393837213516,0.21499137440953445,7.1765594482421875,6.603254650375641,0,0,907,491,125,76,-3.3886643136109957,-2.833861900887401
62,03237500,0.6828869582372166,0.062066592298009635,0.6326088081948412,0.004395497962832451,0.09275032030749049,4.883886814117432,3.981683451002434,0,0,1415,440,496,211,-5.418574854976505,-3.5588469855200247
63,03473000,0.7771949712917877,0.04230399146258068,0.9653622476846478,0.27446475625038147,0.2663926194481973,3.805079698562622,3.5248485764330417,0,0,16,3,41,26,-2.423505808157083,-2.5642716761803346
