,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
213,03140000,0.6637595304721028,0.022215288106530416,0.9184213087811539,0.024320678785443306,0.1079882875735227,3.4048948287963867,3.116891242229994,0,0,1022,81,217,174,-4.039953277327252,-3.081774773078532
214,03144000,0.7513114086119226,0.0852822835907395,0.7800297437053625,0.054676853120326996,0.07872611219985724,4.050137519836426,3.6878788154798228,0,0,744,437,261,235,-3.9453126728508554,-3.812035439592365
215,03170000,0.7724105006272259,-0.028169659867004492,0.9793260492517566,0.2630186378955841,0.29069955680545245,2.474210262298584,2.4823051208453895,0,0,34,0,33,25,-2.056843683847754,-1.81255433909966
216,03173000,0.7343173065699609,-0.050095331772110584,0.9749382959413941,0.12010440975427628,0.13315458659439505,3.192248821258545,3.2236043210218015,0,0,82,72,141,120,-3.574488981286461,-3.46489589865293
217,03180500,0.7833405707846351,0.043817992447719514,0.8392671846069324,0.06963393837213516,0.1784123382487703,7.1765594482421875,6.403340031544441,0,0,907,593,125,86,-3.3886643136109957,-2.9311506704062285
218,03182500,0.7947326097420992,0.056024991276162193,0.7733787102746295,0.07175243645906448,0.1326117886183712,5.845198154449463,4.991215732273249,0,0,903,633,187,110,-3.7905241860060763,-3.4671246021127957
219,03186500,0.7150028000348612,0.08759072020582041,0.8324261539835242,0.07383062690496445,0.20819776868938672,8.645566654205282,7.319798940319243,0,0,948,571,113,83,-3.237897851177973,-2.7982157543104287
220,03237280,0.5547315274728832,0.09393038748685267,0.7421202628453792,0.0,0.07183521079862745,4.725160121917725,3.9082543553779834,437,0,1819,697,561,244,-7.942541765389474,-4.298089383430938
221,03237500,0.7541621831096808,0.004335410738017293,0.7194191117545823,0.004395497962832451,0.10867004174499537,4.883886814117432,4.612269892291286,0,0,1415,199,496,277,-5.418574854976505,-3.4873983095767382
222,03238500,0.7250140972101974,0.05865150080996241,0.7786728327447864,0.0,0.035200801111645065,6.329113960266113,5.739594902371146,298,0,1171,992,662,574,-5.16590345185473,-4.9035010968138595
223,03241500,0.7624519643719075,0.07864878074458459,0.9851057700358431,0.06579337269067764,0.1140972536870107,4.203299427032462,3.6161492235869876,0,0,761,139,207,186,-3.278197255591382,-2.816937827561348
224,03280700,0.7859244179631575,-0.09418949141123159,0.7985758428575508,0.036999624222517014,0.13558249712612883,4.302747774124137,4.203032651263066,0,0,983,348,277,152,-4.307229285654948,-3.118346788687535
225,03281500,0.8789587360342873,-0.066892031195063,0.9101484732740198,0.009555033408105373,0.10313297238794651,4.726469039916985,4.726111886940913,11,0,1108,675,283,185,-4.367035971676674,-3.525181595104311
226,03285000,0.6648664728749185,-0.01825000914893908,0.7496787437817111,0.0050520580261945724,0.1445487344811419,5.203620100021346,4.498766799823323,0,0,1427,263,416,149,-5.287661058611349,-3.0204043012021238
227,03291780,0.7644856022608187,-0.03592926764621296,0.9336418477695237,0.0,0.13562781730419515,7.0447845458984375,5.961871445871801,385,0,1371,50,526,325,-4.8770848220410565,-3.0987215327920565
228,03338780,0.7786598698185531,0.10602603797109382,0.8267027344742697,0.036069925874471664,0.07571873114553175,4.436600685119629,3.6883644582555184,0,0,912,356,322,262,-4.039433370744104,-2.9490577719436946
229,03340800,0.7889885021886646,-0.13437202787114355,0.9753035630506701,0.019716495648026466,0.06257961058077846,3.820920944213867,4.459662157979357,0,0,1293,649,299,292,-4.258613907550019,-3.4243738552581116
230,03346000,0.8086367860958388,-0.2090388972428604,0.8974951048039521,0.0032689787913113832,0.05699402176194049,5.114465856552108,4.640908861208231,0,0,1467,681,654,365,-5.35655128325053,-3.5391144717734817
231,03364500,0.7628192940883749,-0.042741656594374164,0.9000882052281206,0.0009202172164805268,0.08421375584670027,4.725160121917725,4.861500100418196,230,0,1368,478,321,306,-4.240504521035425,-3.148891470693215
232,03366500,0.8290535184520892,-0.14260978964621604,0.9746417989470862,0.0067732674069702625,0.11272418137147558,6.09916596412657,6.326458605310192,0,0,1299,256,464,368,-4.5509308838497216,-3.168966080837345
233,03368000,0.7333768642998573,-0.09545882816392343,0.8331691031084973,0.0,0.08194125784424,6.300213813781738,6.62919633803055,468,0,1547,550,625,421,-5.577423205000007,-3.9468537156163093
234,03384450,0.722654443779523,-0.03692195771238897,0.815113362024944,0.0,0.09129108923093562,5.441093444824219,5.243563695549059,298,0,1649,368,602,330,-6.4445286669719035,-3.899906517365075
235,03439000,0.7861757026008814,-0.00502383959798545,1.0389033674012842,0.8768338561058044,0.8876378845608235,6.876882934570305,7.002352311031582,0,0,1,0,21,17,-1.5620182365976287,-1.5867742797457607
236,03455500,0.7193561467185325,0.01157450591101119,0.879311343163598,0.6163252592086792,0.9590251636468682,8.049892711639385,7.207991115776108,0,0,67,0,46,33,-1.9005734077360354,-1.5579582698557606
237,03456500,0.7883261829259787,0.02316350311942293,0.7395247594199718,0.42205315828323364,0.6018365151765833,6.371167469024638,5.677239003670361,0,0,143,0,50,26,-2.0057413917141034,-1.8197389402299393
238,03460000,0.792825678641862,0.11533646317345901,0.8348268532082975,0.459070464968682,0.504996180817056,4.9748640060424805,4.239735564906691,0,0,43,0,19,16,-1.78668660397799,-1.6012623967949766
239,03463300,0.6597249877719812,0.07280913211670403,0.60766470986003,0.4343219012022026,0.6717842534627668,7.180497646331787,6.270205345648691,0,0,217,0,62,38,-1.9501521501735657,-1.7462043047885674
240,03471500,0.6882976909284877,-0.11783215651446316,1.0576937995255753,0.2837563753128052,0.2911848719306914,3.3816355705261163,3.7211329237018353,0,0,0,3,47,34,-2.5876375387834614,-2.47639829429292
241,03473000,0.7945581637861683,-0.029418219640894833,1.002811815591104,0.27446475625038147,0.299278397912052,3.805079698562622,3.777781715964516,0,0,16,5,41,22,-2.423505808157083,-2.363699262595312
242,03479000,0.7720415396552083,-0.00012139013185103912,0.8111743671238956,0.30782803893089294,0.33369868789411267,4.2582879066467285,4.442397467289783,0,0,94,8,51,45,-2.12005969234102,-2.0797023626086557
243,03488000,0.6960052806842028,-0.04343021403545323,1.0001207240777814,0.12828490138053894,0.1576555400702739,3.7638788461685135,3.774527903966579,0,0,355,184,101,87,-3.1761093806815093,-3.3607666488856065
244,03498500,0.8344190864257719,0.17226595727944596,0.7737583657649021,0.23186659812927246,0.2635527413392838,4.777857303619385,3.840866727828771,0,0,260,39,67,60,-2.4652801855408093,-2.2240111854758577
245,03500000,0.8116815635380694,0.017914951922426717,0.9631896657726141,0.5535187721252441,0.710770956447379,5.489286088943475,5.175989093910941,0,0,23,0,10,12,-1.8340465103203996,-1.6080244761596392
246,03500240,0.8322649702006849,0.0669803146591591,0.8474078923290916,0.4799637496471405,0.6630752748185501,5.1968488693237305,4.470528658122799,0,0,30,0,24,14,-1.945011792690947,-1.5061889045877004
247,03504000,0.8152732090727278,0.14490395314441337,0.9217747558543314,0.8193919658660889,0.7308894460938414,8.013653087615957,6.898752339072976,0,0,30,2,9,10,-1.7355595857858528,-1.8443088041511506
248,03574500,0.7802036169478348,0.05086696920667426,0.6907751310285315,0.03543870151042938,0.2839114253190959,6.94303245544432,5.095738148262979,0,0,1307,0,322,107,-4.901796508674389,-2.7193066040490397
