,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
203,03021350,0.3359443834502367,0.39628464530341684,0.364891616522882,0.10272087901830673,0.4088785650363983,9.297266101837153,3.750710243899173,0,0,771,0,254,37,-3.259860974542544,-1.7838326436666432
204,03026500,0.7297883630708197,0.019080292968077013,0.8162635623963992,0.10486962646245956,0.42697067122530064,5.424291133880615,4.704530150444508,0,0,703,0,81,44,-3.2437618447214356,-1.9378676092584783
205,03028000,0.7736347312181588,0.1029650124101309,0.7552806682077668,0.16500559449195862,0.4181193959713029,5.820197582244873,4.84597593032113,0,0,601,0,65,44,-2.9843069210775344,-1.9904916925107536
206,03049000,0.7118797263907638,0.12026640148634003,0.642149486064435,0.06898044049739838,0.2582803118295242,4.381637716293327,2.975994123832216,0,0,957,7,151,35,-3.6544568873918966,-2.0008428289517317
207,03049800,0.4460352322681591,0.16396372315784008,0.4156162380452823,0.037605080753564835,0.2053036529748218,3.92400860786438,2.5215759372756885,1,0,875,14,272,44,-4.3152566021715,-2.0837750683159384
208,03050000,0.6465696736958335,-0.12261999500596461,0.6677288901334024,0.03831211104989052,0.4474810915683574,6.742931365966797,5.815234079733083,0,0,1023,6,181,29,-3.757524998669986,-2.2614796903424255
209,03069500,0.7129538913251657,0.1476730067156796,0.6335249965244422,0.13481760025024414,0.43614219508881424,8.285391807556152,5.929804897701548,0,0,719,4,94,35,-3.108373421016182,-2.298907539744181
210,03070500,0.6401985593912347,0.21029522123010755,0.5984285638027114,0.07560256123542786,0.29730692695951383,7.229495048522949,4.700388836895631,0,0,1111,32,149,50,-3.853638221284285,-2.3927585101867943
211,03076600,0.7541644569079761,-0.040977484459629315,0.7815773344762111,0.11015710979700089,0.3313726586493071,6.244168758392323,5.2926823918831785,0,0,878,30,145,48,-3.480674867725836,-2.555021813182692
212,03078000,0.6986187031016575,0.16361601153315453,0.645860490379976,0.08149956613779072,0.3134927889390104,7.046158790588379,4.856059711347265,0,0,1124,39,143,52,-3.5144447071330367,-2.5943028014336984
213,03140000,0.5841167185986227,-0.016085408177253388,0.6699272649075785,0.024320678785443306,0.23017576239855253,3.4048948287963867,2.8069687364513074,0,0,1022,4,217,71,-4.039953277327252,-2.028602071982792
214,03144000,0.6335568479848825,0.062259846931766755,0.5606928643496054,0.054676853120326996,0.21877520552499724,4.050137519836426,2.9758531441252036,0,0,744,38,261,72,-3.9453126728508554,-2.1717982320370797
215,03170000,0.6973096220068762,-0.03728829651711143,1.1854547895980017,0.2630186378955841,0.19318442994635932,2.474210262298584,2.9984373667770257,0,0,34,63,33,59,-2.056843683847754,-2.46029331753123
216,03173000,0.7013293460116024,0.043283198067523565,0.6874414094544007,0.12010440975427628,0.1648259001093602,3.192248821258545,2.585057404383191,0,0,82,120,141,57,-3.574488981286461,-2.3058360652000847
217,03180500,0.7203923550275568,0.0019469838547632018,0.7043280854605449,0.06963393837213516,0.41713896411164547,7.1765594482421875,5.676081740483518,0,0,907,0,125,40,-3.3886643136109957,-2.285427809782005
218,03182500,0.7065143591435414,-0.016410673123939363,0.6404641248758561,0.07175243645906448,0.32597038774752884,5.845198154449463,4.66447690024083,0,0,903,3,187,41,-3.7905241860060763,-2.398044822239049
219,03186500,0.6340329668659626,0.09986039523999213,0.6196082481526526,0.07383062690496445,0.48213340127510174,8.645566654205282,6.215520698110509,0,0,948,2,113,22,-3.237897851177973,-2.177974124810654
220,03237280,0.41326542187840076,0.18004366515415307,0.5122804139736117,0.0,0.14141574538661794,4.725160121917725,2.997607366979785,437,0,1819,183,561,86,-7.942541765389474,-2.738281814814267
221,03237500,0.5663046828734968,0.09828426138206775,0.4708623007232,0.004395497962832451,0.17069023015559315,4.883886814117432,3.2776936015897618,0,0,1415,157,496,90,-5.418574854976505,-2.529585567662903
